geometry,lat,lon,g_x,g_y,v,area_grid,area_grid_km,grid_pop,grid_avg_inc,pop_density_km
"POLYGON ((123188.38860847357 493770.7975624863, 123688.38860847357 493770.7975624863, 123688.38860847357 494270.7975624863, 123188.38860847357 494270.7975624863, 123188.38860847357 493770.7975624863))",493770.7975624863,123188.38860847357,0,26,26,250000.0,0.25,0.0,,0.0
"POLYGON ((123688.38860847357 493770.7975624863, 124188.38860847357 493770.7975624863, 124188.38860847357 494270.7975624863, 123688.38860847357 494270.7975624863, 123688.38860847357 493770.7975624863))",493770.7975624863,123688.38860847357,0,27,27,250000.0,0.25,0.0,,0.0
"POLYGON ((124188.38860847357 493770.7975624863, 124688.38860847357 493770.7975624863, 124688.38860847357 494270.7975624863, 124188.38860847357 494270.7975624863, 124188.38860847357 493770.7975624863))",493770.7975624863,124188.38860847357,0,28,28,250000.0,0.25,0.0,,0.0
"POLYGON ((124688.38860847357 493770.7975624863, 125188.38860847357 493770.7975624863, 125188.38860847357 494270.7975624863, 124688.38860847357 494270.7975624863, 124688.38860847357 493770.7975624863))",493770.7975624863,124688.38860847357,0,29,29,250000.0,0.25,0.0,,0.0
"POLYGON ((125188.38860847357 493770.7975624863, 125688.38860847357 493770.7975624863, 125688.38860847357 494270.7975624863, 125188.38860847357 494270.7975624863, 125188.38860847357 493770.7975624863))",493770.7975624863,125188.38860847357,0,30,30,250000.0,0.25,0.0,,0.0
"POLYGON ((125688.38860847357 493770.7975624863, 126188.38860847357 493770.7975624863, 126188.38860847357 494270.7975624863, 125688.38860847357 494270.7975624863, 125688.38860847357 493770.7975624863))",493770.7975624863,125688.38860847357,0,31,31,250000.0,0.25,0.0,,0.0
"POLYGON ((126188.38860847357 493770.7975624863, 126688.38860847357 493770.7975624863, 126688.38860847357 494270.7975624863, 126188.38860847357 494270.7975624863, 126188.38860847357 493770.7975624863))",493770.7975624863,126188.38860847357,0,32,32,250000.0,0.25,0.0,,0.0
"POLYGON ((126688.38860847357 493770.7975624863, 127188.38860847357 493770.7975624863, 127188.38860847357 494270.7975624863, 126688.38860847357 494270.7975624863, 126688.38860847357 493770.7975624863))",493770.7975624863,126688.38860847357,0,33,33,250000.0,0.25,0.0,,0.0
"POLYGON ((127188.38860847357 493770.7975624863, 127688.38860847357 493770.7975624863, 127688.38860847357 494270.7975624863, 127188.38860847357 494270.7975624863, 127188.38860847357 493770.7975624863))",493770.7975624863,127188.38860847357,0,34,34,250000.0,0.25,0.0,,0.0
"POLYGON ((127688.38860847357 493770.7975624863, 128188.38860847357 493770.7975624863, 128188.38860847357 494270.7975624863, 127688.38860847357 494270.7975624863, 127688.38860847357 493770.7975624863))",493770.7975624863,127688.38860847357,0,35,35,250000.0,0.25,0.0,,0.0
"POLYGON ((128188.38860847357 493770.7975624863, 128688.38860847357 493770.7975624863, 128688.38860847357 494270.7975624863, 128188.38860847357 494270.7975624863, 128188.38860847357 493770.7975624863))",493770.7975624863,128188.38860847357,0,36,36,250000.0,0.25,0.0,,0.0
"POLYGON ((128688.38860847357 493770.7975624863, 129188.38860847357 493770.7975624863, 129188.38860847357 494270.7975624863, 128688.38860847357 494270.7975624863, 128688.38860847357 493770.7975624863))",493770.7975624863,128688.38860847357,0,37,37,250000.0,0.25,0.0,,0.0
"POLYGON ((129188.38860847357 493770.7975624863, 129688.38860847357 493770.7975624863, 129688.38860847357 494270.7975624863, 129188.38860847357 494270.7975624863, 129188.38860847357 493770.7975624863))",493770.7975624863,129188.38860847357,0,38,38,250000.0,0.25,0.0,,0.0
"POLYGON ((129688.38860847357 493770.7975624863, 130188.38860847357 493770.7975624863, 130188.38860847357 494270.7975624863, 129688.38860847357 494270.7975624863, 129688.38860847357 493770.7975624863))",493770.7975624863,129688.38860847357,0,39,39,250000.0,0.25,0.0,,0.0
